Quarter Ending,HSC Trust,Specialty,0 - 6 Wks,>6 - 9 Wks,>9 - 12 Wks,>12 - 15 Wks,>15 - 18 Wks,>18 - 26 Wks,>26 - 39 Wks,>39 - 52 Wks,>52 - 65 Wks,>65 - 78 Wks,>78 - 91 Wks,>91 - 104 Wks,>104 Wks,Total Waiting
2026-06-30,Belfast,Adult Cystic Fibrosis,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2026-06-30,Belfast,Anaesthetics,11,3,1,8,1,39,99,3,1,1,0,0,0,167
2026-06-30,Belfast,Breast Surgery,121,17,4,1,5,5,5,9,4,2,10,4,63,250
2026-06-30,Belfast,Cardiac Rehabilitation,5,0,0,0,0,0,0,0,0,0,0,0,0,5
2026-06-30,Belfast,Cardiac Surgery,34,13,2,4,0,0,0,0,0,0,0,0,0,53
2026-06-30,Belfast,Cardiology,713,204,165,121,139,314,422,254,219,259,232,221,754,4017
2026-06-30,Belfast,Care of the Elderly,176,61,29,17,16,45,49,50,22,4,0,0,0,469
2026-06-30,Belfast,Children's Health Care Services,1,0,0,1,0,0,0,0,0,0,0,0,1,3
2026-06-30,Belfast,Clinical Oncology,193,7,1,0,1,1,0,0,0,0,0,0,0,203
2026-06-30,Belfast,Colorectal Surgery,240,77,68,59,72,183,277,281,263,225,231,202,1746,3924
2026-06-30,Belfast,Dermatology,753,176,123,113,103,236,367,483,587,511,360,472,6139,10423
2026-06-30,Belfast,Diabetes,91,14,5,1,2,3,4,2,4,2,5,3,0,136
2026-06-30,Belfast,"Ear,Nose,&Throat (ENT)",855,231,181,175,182,430,531,407,391,429,321,245,2028,6406
2026-06-30,Belfast,Endocrinology,270,78,66,83,88,129,196,198,192,180,223,203,650,2556
2026-06-30,Belfast,Forensic Psychiatry,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2026-06-30,Belfast,Fractures,313,3,4,3,0,1,0,0,0,0,0,0,0,324
2026-06-30,Belfast,Gastroenterology,545,148,123,94,135,265,497,451,558,410,432,349,550,4557
2026-06-30,Belfast,General Medicine,39,14,10,22,15,31,66,63,38,29,29,34,85,475
2026-06-30,Belfast,General Surgery,464,201,179,118,140,398,561,565,623,563,378,505,2704,7399
2026-06-30,Belfast,Genetics,222,84,88,62,65,108,142,105,84,26,1,0,0,987
2026-06-30,Belfast,Genito-Urinary Medicine,4,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-06-30,Belfast,Gynaecological Oncology,81,0,1,0,0,0,0,0,0,0,0,0,0,82
2026-06-30,Belfast,Gynaecology,693,280,267,238,273,690,885,821,738,515,346,355,800,6901
2026-06-30,Belfast,Haematology,96,35,12,5,3,5,5,2,0,0,0,0,0,163
2026-06-30,Belfast,Haematology - Haemophilia/Thrombosis,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2026-06-30,Belfast,Hepatology,179,56,38,27,29,67,83,45,49,40,42,41,154,850
2026-06-30,Belfast,Immunology,290,76,66,43,71,178,192,74,17,5,3,3,2,1020
2026-06-30,Belfast,Infectious Diseases,20,0,0,0,0,0,0,0,0,1,0,0,0,21
2026-06-30,Belfast,Lactation Services,2,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-06-30,Belfast,Medical Oncology,108,4,1,0,2,3,0,1,0,0,0,0,0,119
