specialty,hospital,age_group,waiting_over_12m,total_waiting,pct_over_12m
Anaesthetics,St. Columcille's Hospital,Adult,0,27,0.0
Anaesthetics,Tallaght University Hospital,Adult,0,27,0.0
Breast Surgery,Beaumont Hospital,Adult,0,665,0.0
Breast Surgery,Cork University Hospital,Adult,0,2431,0.0
Breast Surgery,Galway University Hospitals,Adult,0,1355,0.0
Breast Surgery,Letterkenny University Hospital,Adult,0,826,0.0
Breast Surgery,University Hospital Limerick,Adult,0,281,0.0
Breast Surgery,University Hospital Waterford,Adult,0,636,0.0
Cardio-Thoracic Surgery,Children's Health Ireland,Child,0,24,0.0
Cardio-Thoracic Surgery,Cork University Hospital,Adult,0,21,0.0
Cardio-Thoracic Surgery,Galway University Hospitals,Adult,0,65,0.0
Cardio-Thoracic Surgery,Mater Misericordiae University Hospital,Adult,72,362,19.9
Cardio-Thoracic Surgery,St. James's Hospital,Adult,0,54,0.0
Cardio-Thoracic Surgery,St. Vincent's University Hospital,Adult,0,22,0.0
Cardiology,Bantry General Hospital,Adult,0,146,0.0
Cardiology,Beaumont Hospital,Adult,587,3331,17.6
Cardiology,Cavan General Hospital,Adult,0,827,0.0
Cardiology,Connolly Hospital Blanchardstown,Adult,0,1305,0.0
Cardiology,Cork University Hospital,Adult,0,1568,0.0
Cardiology,Ennis Hospital,Adult,645,1224,52.7
Cardiology,Galway University Hospitals,Adult,6,1151,0.5
Cardiology,Letterkenny University Hospital,Adult,16,1726,0.9
Cardiology,Mallow General Hospital,Adult,7,532,1.3
Cardiology,Mater Misericordiae University Hospital,Adult,147,2926,5.0
Cardiology,Mayo University Hospital,Adult,66,984,6.7
Cardiology,Mercy University Hospital,Adult,1,866,0.1
Cardiology,Midland Regional Hospital Mullingar,Adult,37,922,4.0
Cardiology,Midland Regional Hospital Portlaoise,Adult,0,24,0.0
Cardiology,Midland Regional Hospital Tullamore,Adult,88,1331,6.6
Cardiology,Naas General Hospital,Adult,2,719,0.3
Cardiology,Nenagh Hospital,Adult,693,1276,54.3
Cardiology,Our Lady of Lourdes Hospital Drogheda,Adult,196,2075,9.4
Cardiology,Our Lady's Hospital Navan,Adult,294,1775,16.6
Cardiology,Portiuncula University Hospital,Adult,3,527,0.6
Cardiology,Sligo University Hospital,Adult,84,1279,6.6
Cardiology,St. Columcille's Hospital,Adult,0,152,0.0
Cardiology,St. James's Hospital,Adult,163,2262,7.2
Cardiology,St. Luke's General Hospital Kilkenny,Adult,302,1497,20.2
Cardiology,St. Michael's Hospital,Adult,183,692,26.4
